fold,n_train,n_test,r,r2,acc
1,279306,3086,0.324742,0.105457,0.587816
2,271560,3838,0.355706,0.126527,0.594059
3,273072,3787,0.340972,0.116262,0.600211
4,277277,3203,0.28588,0.081727,0.571027
5,273362,3746,0.330493,0.109226,0.595302
6,275538,3408,0.289739,0.083949,0.588322
7,272895,3839,0.303806,0.092298,0.586351
8,278245,3162,0.318786,0.101625,0.59709
9,276139,3294,0.304598,0.09278,0.594414
10,277479,3174,0.258381,0.066761,0.564902
