fold,n_train,n_test,r,r2,acc
1,40166,493,0.317141,0.100578,0.547667
2,40129,499,0.425391,0.180958,0.709419
3,39267,606,0.318599,0.101505,0.580858
4,39663,515,0.366892,0.134609,0.543689
5,39495,529,0.46666,0.217771,0.606805
6,39622,526,0.446618,0.199467,0.604563
7,38849,632,0.367431,0.135005,0.558544
8,39802,470,0.455312,0.207309,0.612766
9,39986,528,0.3489,0.121731,0.535985
10,39933,514,0.38668,0.149522,0.605058
