fold,n_train,n_test,train_r,train_r2,test_r,test_r2,test_rho,test_acc,stopped_epoch
0,279306,3086,0.092983,0.008646,0.001781,3e-06,0.007693,0.515554,21
1,271560,3838,0.089828,0.008069,-0.059206,0.003505,-0.050303,0.486191,21
2,273072,3787,0.090384,0.008169,0.004354,1.9e-05,0.009424,0.504885,21
3,277277,3203,0.089508,0.008012,-0.017508,0.000307,-0.022027,0.497971,21
4,273362,3746,0.083552,0.006981,-0.00693,4.8e-05,-0.010904,0.495462,21
5,275538,3408,0.081619,0.006662,0.023828,0.000568,0.025894,0.501174,21
6,272895,3839,0.085829,0.007367,0.00973,9.5e-05,0.006095,0.494921,21
7,278245,3162,0.087368,0.007633,-0.006804,4.6e-05,-0.006103,0.497154,21
8,276139,3294,0.068662,0.004714,0.015998,0.000256,0.014121,0.5085,21
9,277479,3174,0.080341,0.006455,0.001776,3e-06,0.005688,0.495904,21
