fold,n_train,n_test,r,r2,acc
1,279306,3086,0.02336,0.000546,0.513934
2,271560,3838,-0.029494,0.00087,0.499218
3,273072,3787,0.017606,0.00031,0.507262
4,277277,3203,-0.026458,0.0007,0.495473
5,273362,3746,-0.022516,0.000507,0.481847
6,275538,3408,-0.023733,0.000563,0.482394
7,272895,3839,0.009542,9.1e-05,0.509768
8,278245,3162,-0.007551,5.7e-05,0.51012
9,276139,3294,0.023108,0.000534,0.510322
10,277479,3174,-0.03015,0.000909,0.49874
