fold,n_test,r,r2,acc
1,34005,0.378624,0.143356,0.612998
2,34005,0.375785,0.141214,0.611263
3,34004,0.385713,0.148775,0.61581
4,34004,0.376069,0.141428,0.611487
5,34004,0.377448,0.142467,0.612369
6,34004,0.376579,0.141812,0.609664
7,34004,0.383408,0.147001,0.612634
8,34004,0.376699,0.141902,0.60784
9,34004,0.379118,0.143731,0.613369
10,34004,0.379138,0.143746,0.61381
