fold,n_train,n_test,train_r,train_r2,test_r,test_r2,test_rho,test_acc,stopped_epoch
0,40166,493,0.520298,0.27071,0.377789,0.142724,0.359122,0.565923,27
1,40129,499,0.536643,0.287986,0.481969,0.232294,0.438938,0.681363,29
2,39267,606,0.537909,0.289346,0.312853,0.097877,0.300323,0.633663,29
3,39663,515,0.533973,0.285127,0.550692,0.303262,0.458275,0.716505,30
4,39495,529,0.541221,0.29292,0.414327,0.171666,0.404675,0.589792,30
5,39622,526,0.527203,0.277943,0.501253,0.251255,0.494275,0.629278,28
6,38849,632,0.541636,0.29337,0.395199,0.156182,0.379396,0.639241,32
7,39802,470,0.538916,0.290431,0.454993,0.207019,0.396109,0.591489,30
8,39986,528,0.54361,0.295512,0.396969,0.157585,0.386086,0.579545,30
9,39933,514,0.548981,0.301381,0.392874,0.15435,0.38271,0.671206,31
