fold,n_train,n_test,train_r,train_r2,test_r,test_r2,test_rho,test_acc,stopped_epoch
0,306037,34005,0.039026,0.001523,-0.002368,6e-06,-0.002678,0.496486,23
1,306037,34005,0.043475,0.00189,0.003642,1.3e-05,-0.000569,0.498985,23
2,306038,34004,0.031272,0.000978,-0.003848,1.5e-05,0.000921,0.501823,22
3,306038,34004,0.043252,0.001871,0.006036,3.6e-05,0.000502,0.498177,23
4,306038,34004,0.034421,0.001185,-0.002654,7e-06,0.002753,0.503852,22
5,306038,34004,0.047145,0.002223,0.001551,2e-06,0.002163,0.499735,23
6,306038,34004,0.05278,0.002786,-0.001227,2e-06,-0.003026,0.498118,24
7,306038,34004,0.029204,0.000853,0.006971,4.9e-05,0.009768,0.504852,22
8,306038,34004,0.040038,0.001603,-0.011218,0.000126,-0.011156,0.496559,23
9,306038,34004,0.0322,0.001037,-0.007023,4.9e-05,-0.008071,0.498235,22
