fold,n_test,r,r2,acc
1,34005,0.393798,0.155077,0.618821
2,34005,0.399416,0.159533,0.619762
3,34004,0.391612,0.15336,0.613693
4,34004,0.397898,0.158323,0.621427
5,34004,0.391382,0.15318,0.615663
6,34004,0.40113,0.160905,0.621603
7,34004,0.397127,0.15771,0.62225
8,34004,0.394152,0.155355,0.61731
9,34004,0.397802,0.158246,0.620074
10,34004,0.399762,0.15981,0.61781
