fold,n_train,n_test,train_r,train_r2,test_r,test_r2,test_rho,test_acc,stopped_epoch
0,306037,34005,0.431975,0.186603,0.399814,0.159851,0.367994,0.619174,25
1,306037,34005,0.439235,0.192927,0.405811,0.164683,0.369781,0.621085,27
2,306038,34004,0.450344,0.20281,0.399781,0.159825,0.358915,0.615516,30
3,306038,34004,0.441355,0.194794,0.405765,0.164646,0.369008,0.619809,28
4,306038,34004,0.449519,0.202068,0.399549,0.159639,0.36111,0.613281,30
5,306038,34004,0.453238,0.205425,0.404817,0.163876,0.368633,0.619633,31
6,306038,34004,0.435909,0.190016,0.400829,0.160664,0.368564,0.621221,26
7,306038,34004,0.491063,0.241143,0.408484,0.166859,0.362669,0.614634,54
8,306038,34004,0.434578,0.188858,0.401984,0.161591,0.368049,0.620133,26
9,306038,34004,0.445448,0.198424,0.402491,0.161999,0.363407,0.620398,29
