fold,n_train,n_test,r,r2,acc
1,279306,3086,0.002242,5e-06,0.504213
2,271560,3838,-0.007229,5.2e-05,0.491662
3,273072,3787,-0.00924,8.5e-05,0.485873
4,277277,3203,-0.025686,0.00066,0.490478
5,273362,3746,-0.000681,0.0,0.503737
6,275538,3408,-0.014532,0.000211,0.496772
7,272895,3839,0.001639,3e-06,0.504819
8,278245,3162,0.019879,0.000395,0.508855
9,276139,3294,-0.006741,4.5e-05,0.498482
10,277479,3174,0.005246,2.8e-05,0.504726
