fold,n_train,n_test,r,r2,acc
1,279306,3086,0.354486,0.12566,0.578095
2,271560,3838,0.355608,0.126457,0.593017
3,273072,3787,0.368871,0.136066,0.602588
4,277277,3203,0.291552,0.085002,0.576335
5,273362,3746,0.355636,0.126477,0.595035
6,275538,3408,0.346792,0.120265,0.601819
7,272895,3839,0.320494,0.102716,0.597551
8,278245,3162,0.35527,0.126217,0.606578
9,276139,3294,0.309533,0.095811,0.587735
10,277479,3174,0.364198,0.13264,0.593888
