fold,n_train,n_test,train_r,train_r2,test_r,test_r2,test_rho,test_acc,stopped_epoch
0,279306,3086,0.442504,0.19581,0.343387,0.117915,0.291889,0.573558,27
1,271560,3838,0.435518,0.189676,0.342286,0.117159,0.303086,0.601094,26
2,273072,3787,0.433995,0.188352,0.358992,0.128875,0.325852,0.61315,31
3,277277,3203,0.429242,0.184248,0.282606,0.079866,0.270147,0.571964,24
4,273362,3746,0.435746,0.189875,0.339547,0.115292,0.306987,0.592365,25
5,275538,3408,0.440945,0.194433,0.345587,0.11943,0.320067,0.598592,26
6,272895,3839,0.434865,0.189108,0.303686,0.092225,0.275082,0.597551,25
7,278245,3162,0.446847,0.199672,0.350796,0.123058,0.319861,0.598988,28
8,276139,3294,0.436791,0.190787,0.312187,0.09746,0.304202,0.595021,25
9,277479,3174,0.440781,0.194288,0.359198,0.129023,0.323531,0.612476,26
