fold,n_train,n_test,train_r,train_r2,test_r,test_r2,test_rho,test_acc,stopped_epoch
0,279306,3086,0.050756,0.002576,0.012787,0.000163,0.006574,0.497732,21
1,271560,3838,0.053034,0.002813,0.005011,2.5e-05,-6e-05,0.493747,21
2,273072,3787,0.051242,0.002626,-0.0094,8.8e-05,-0.014443,0.492474,21
3,277277,3203,0.05211,0.002715,-0.015715,0.000247,-0.014279,0.499844,21
4,273362,3746,0.052541,0.002761,-0.011058,0.000122,-0.014755,0.495729,21
5,275538,3408,0.052076,0.002712,-0.017188,0.000295,-0.032265,0.487089,21
6,272895,3839,0.051175,0.002619,-0.006025,3.6e-05,-0.012305,0.499349,21
7,278245,3162,0.09406,0.008847,-0.002187,5e-06,-0.000514,0.496521,23
8,276139,3294,0.051963,0.0027,0.018196,0.000331,0.028312,0.523072,21
9,277479,3174,0.051327,0.002634,-0.02386,0.000569,-0.020393,0.502836,21
