fold,n_train,n_test,train_r,train_r2,test_r,test_r2,test_rho,test_acc,stopped_epoch
0,40166,493,0.578043,0.334133,0.428052,0.183228,0.384789,0.598377,37
1,40129,499,0.568379,0.323054,0.459967,0.21157,0.41203,0.639279,33
2,39267,606,0.589615,0.347646,0.345358,0.119272,0.333956,0.60231,39
3,39663,515,0.587913,0.345642,0.535674,0.286947,0.436635,0.631068,40
4,39495,529,0.601007,0.36121,0.419556,0.176027,0.409126,0.62949,42
5,39622,526,0.597944,0.357537,0.507049,0.257098,0.496525,0.648289,42
6,38849,632,0.587309,0.344932,0.383465,0.147045,0.376127,0.601266,44
7,39802,470,0.567641,0.322216,0.497741,0.247746,0.413571,0.608511,35
8,39986,528,0.574175,0.329677,0.426909,0.182252,0.394423,0.600379,35
9,39933,514,0.597373,0.356854,0.432983,0.187474,0.405669,0.614786,42
