fold,n_train,n_test,train_r,train_r2,test_r,test_r2,test_rho,test_acc,stopped_epoch
0,279306,3086,0.589751,0.347807,0.415971,0.173032,0.359633,0.614712,123
1,271560,3838,0.578595,0.334772,0.407943,0.166417,0.361293,0.618812,85
2,273072,3787,0.563977,0.318069,0.403019,0.162424,0.356683,0.61051,96
3,277277,3203,0.586503,0.343986,0.324118,0.105052,0.296586,0.595067,95
4,273362,3746,0.595843,0.355028,0.391388,0.153185,0.34792,0.609984,144
5,275538,3408,0.578461,0.334618,0.349344,0.122042,0.323359,0.616197,75
6,272895,3839,0.580408,0.336874,0.383464,0.147044,0.330695,0.611097,79
7,278245,3162,0.560693,0.314377,0.39645,0.157173,0.343987,0.615117,49
8,276139,3294,0.580868,0.337408,0.352711,0.124405,0.328847,0.603522,70
9,277479,3174,0.590136,0.348261,0.395701,0.156579,0.354215,0.615627,89
