fold,n_train,n_test,train_r,train_r2,test_r,test_r2,test_rho,test_acc,stopped_epoch
0,306037,34005,0.581967,0.338685,0.51935,0.269724,0.456782,0.647934,107
1,306037,34005,0.585887,0.343264,0.5306,0.281536,0.458177,0.643788,115
2,306038,34004,0.590789,0.349032,0.514131,0.264331,0.445457,0.643218,162
3,306038,34004,0.584043,0.341107,0.52055,0.270972,0.455123,0.641719,102
4,306038,34004,0.574463,0.330007,0.515265,0.265498,0.451963,0.644483,78
5,306038,34004,0.580904,0.337449,0.519699,0.270087,0.459177,0.647247,87
6,306038,34004,0.58106,0.33763,0.524886,0.275505,0.456108,0.644189,100
7,306038,34004,0.586874,0.344421,0.52076,0.271191,0.449899,0.645512,139
8,306038,34004,0.579779,0.336144,0.520191,0.270599,0.455924,0.645895,95
9,306038,34004,0.585967,0.343357,0.527023,0.277753,0.460975,0.650865,119
