fold,n_train,n_test,r,r2,acc
1,40166,493,0.368597,0.135864,0.561866
2,40129,499,0.496957,0.246966,0.701403
3,39267,606,0.328844,0.108138,0.526403
4,39663,515,0.545891,0.297997,0.615534
5,39495,529,0.418897,0.175475,0.672968
6,39622,526,0.538047,0.289494,0.640684
7,38849,632,0.399213,0.159371,0.568038
8,39802,470,0.468464,0.219459,0.659574
9,39986,528,0.42294,0.178878,0.57197
10,39933,514,0.415398,0.172555,0.589494
