fold,n_test,r,r2,acc
1,34005,-0.003736,1.4e-05,0.49828
2,34005,-0.000665,0.0,0.498897
3,34004,-0.003998,1.6e-05,0.500382
4,34004,0.007144,5.1e-05,0.502382
5,34004,0.004413,1.9e-05,0.503029
6,34004,-0.007131,5.1e-05,0.499647
7,34004,0.002398,6e-06,0.500323
8,34004,-0.008565,7.3e-05,0.499088
9,34004,-0.005327,2.8e-05,0.498853
10,34004,-0.008055,6.5e-05,0.496
