fold,n_train,n_test,train_r,train_r2,test_r,test_r2,test_rho,test_acc,stopped_epoch
0,279306,3086,0.049119,0.002413,0.032306,0.001044,0.028843,0.514906,24
1,271560,3838,0.026977,0.000728,-0.009928,9.9e-05,-0.018093,0.489838,21
2,273072,3787,0.034396,0.001183,-0.030674,0.000941,-0.028011,0.492474,23
3,277277,3203,0.035108,0.001233,-0.008106,6.6e-05,-0.003579,0.507025,22
4,273362,3746,0.057317,0.003285,0.011673,0.000136,0.013721,0.505606,25
5,275538,3408,0.047658,0.002271,-0.026357,0.000695,-0.037015,0.485622,23
6,272895,3839,0.054318,0.00295,-0.013907,0.000193,-0.01334,0.488929,24
7,278245,3162,0.035393,0.001253,0.025494,0.00065,0.021038,0.502214,22
8,276139,3294,0.048425,0.002345,-0.021633,0.000468,-0.013421,0.503339,24
9,277479,3174,0.049595,0.00246,-0.012906,0.000167,-0.01143,0.487083,24
