label,condition,sd_true,sd_pred,cor_tp
BabyLM-125M,default,2.895277918558676,1.4614208370631994,0.47018509975070344
BabyLM-125M,attn_zeroed,2.7060865311589013,1.2367171863121362,0.4160809781543974
BabyLM-350M,default,2.7882986415032267,1.4095344377884456,0.47208765547748316
BabyLM-350M,attn_zeroed,2.5033594505695738,1.0457442519659497,0.3945383993530108
BabyLM-1.3B,default,4.852848085735252,2.1136035430056537,0.3976357100599116
BabyLM-1.3B,attn_zeroed,4.250880353341953,1.6097846913516602,0.31582588659347255
Pythia-160M,default,2.8256858650929693,1.836190509233948,0.568046974809428
Pythia-160M,attn_zeroed,2.5840375569830325,1.685080095015803,0.5289510397631814
Pythia-410M,default,3.067022051014868,2.0392280035648995,0.5963665050944552
Pythia-410M,attn_zeroed,2.7508404878875448,1.772369836444621,0.5406288767525321
Pythia-1B,default,3.091793923720865,2.2054196556195036,0.6476656314158981
Pythia-1B,attn_zeroed,2.900439388712794,2.0109490539430412,0.5941009140239609
GPT-2,default,2.8716276739140962,1.992707548392472,0.6038813381282145
GPT-2,attn_zeroed,3.631935165221934,2.740715198065365,0.6980745512609122
GPT-2-M,default,2.9658786157959027,1.9514575638004692,0.5888212158104352
GPT-2-M,attn_zeroed,3.392992414006441,2.4958399257249084,0.6547871807298524
GPT-2-L,default,2.9502875366772265,1.9187545298365922,0.6113529336298502
GPT-2-L,attn_zeroed,2.9574640824504286,2.097136910780278,0.5880328516616427
GPT-2-XL,default,3.0290159492584845,2.088421924380441,0.6078930353708651
GPT-2-XL,attn_zeroed,3.1375386915408576,2.267340798261747,0.625549032295096
OLMo-1B,default,2.9045725952904053,2.119438430260732,0.6739517697617671
OLMo-1B,attn_zeroed,2.602088962967938,1.8725315347254923,0.6217102937617407
OLMo-7B,default,2.9616004663670523,2.2563384023231756,0.7198992218156568
OLMo-7B,attn_zeroed,2.5546173135505326,1.910062468678934,0.6674396128721568
OLMo-2-1B,default,3.079660123761516,2.1206861834708555,0.6571938389349746
OLMo-2-1B,attn_zeroed,2.8710140819330263,2.1225916246254695,0.6163847993116027
OLMo-2-7B,default,3.2824548455979814,2.550329478748802,0.7460222232782503
OLMo-2-7B,attn_zeroed,3.0094431822272876,2.3627857508898553,0.6970360838705577
Llama-1.3B,default,2.914560263079945,2.097826625490555,0.6499349511821303
Llama-1.3B,attn_zeroed,2.562404625202282,1.802847431346797,0.5941908297308638
Llama-3-8B,default,3.176910228390162,2.5467714168156785,0.7342915444656583
Llama-3-8B,attn_zeroed,2.7512820318778295,2.009324380576562,0.6746535536204985
