fold,n_train,n_test,train_r,train_r2,test_r,test_r2,test_rho,test_acc,stopped_epoch
0,306037,34005,0.597387,0.356871,0.542634,0.294452,0.47295,0.651669,73
1,306037,34005,0.617731,0.381592,0.546097,0.298222,0.462761,0.648963,135
2,306038,34004,0.610607,0.37284,0.542685,0.294507,0.465654,0.649982,104
3,306038,34004,0.624799,0.390374,0.554435,0.307398,0.467639,0.648806,157
4,306038,34004,0.609062,0.370956,0.539473,0.291031,0.468195,0.651247,102
5,306038,34004,0.60649,0.36783,0.540975,0.292654,0.468868,0.650394,93
6,306038,34004,0.617582,0.381408,0.548177,0.300499,0.469734,0.652717,132
7,306038,34004,0.620136,0.384569,0.542321,0.294112,0.46653,0.653011,122
8,306038,34004,0.604342,0.365229,0.542276,0.294063,0.47071,0.651512,87
9,306038,34004,0.615712,0.379101,0.544546,0.296531,0.470417,0.649953,121
