fold,n_train,n_test,train_r,train_r2,test_r,test_r2,test_rho,test_acc,stopped_epoch
0,306037,34005,0.051694,0.002672,0.000225,0.0,-0.005939,0.498397,21
1,306037,34005,0.047324,0.00224,2.9e-05,0.0,0.000873,0.504926,21
2,306038,34004,0.049433,0.002444,0.00269,7e-06,0.000325,0.499971,21
3,306038,34004,0.075444,0.005692,-0.003456,1.2e-05,-0.003619,0.502,22
4,306038,34004,0.041372,0.001712,0.004856,2.4e-05,0.007658,0.508646,21
5,306038,34004,0.043528,0.001895,-0.003407,1.2e-05,-0.005344,0.499206,21
6,306038,34004,0.042444,0.001801,0.003496,1.2e-05,0.001032,0.501353,21
7,306038,34004,0.04634,0.002147,-0.002262,5e-06,-0.002514,0.501118,21
8,306038,34004,0.044179,0.001952,-0.00374,1.4e-05,-0.002809,0.498559,21
9,306038,34004,0.04447,0.001978,0.009939,9.9e-05,0.009559,0.508058,21
