fold,n_train,n_test,train_r,train_r2,test_r,test_r2,test_rho,test_acc,stopped_epoch
0,279306,3086,0.505779,0.255812,0.363673,0.132258,0.304986,0.581011,44
1,271560,3838,0.467746,0.218786,0.333934,0.111512,0.307424,0.608911,30
2,273072,3787,0.455312,0.207309,0.365929,0.133904,0.32012,0.608397,35
3,277277,3203,0.5163,0.266566,0.277487,0.076999,0.258762,0.588511,49
4,273362,3746,0.533131,0.284228,0.305712,0.09346,0.292541,0.588628,69
5,275538,3408,0.500013,0.250013,0.298537,0.089124,0.278251,0.580106,42
6,272895,3839,0.527206,0.277946,0.279122,0.077909,0.258005,0.589476,64
7,278245,3162,0.499929,0.249929,0.327509,0.107262,0.279554,0.587603,43
8,276139,3294,0.460566,0.212121,0.337263,0.113747,0.311619,0.605039,27
9,277479,3174,0.460159,0.211746,0.373905,0.139805,0.33444,0.609641,27
