fold,n_train,n_test,r,r2,acc
1,279306,3086,0.411085,0.168991,0.609203
2,271560,3838,0.360809,0.130183,0.607869
3,273072,3787,0.370685,0.137408,0.589649
4,277277,3203,0.301093,0.090657,0.584764
5,273362,3746,0.351412,0.12349,0.595302
6,275538,3408,0.329216,0.108383,0.586268
7,272895,3839,0.308536,0.095194,0.581662
8,278245,3162,0.37141,0.137945,0.608159
9,276139,3294,0.359811,0.129464,0.597146
10,277479,3174,0.382081,0.145986,0.595148
