fold,n_test,r,r2,acc
1,34005,0.401855,0.161487,0.621614
2,34005,0.407503,0.166059,0.617439
3,34004,0.411171,0.169061,0.617369
4,34004,0.413981,0.17138,0.619692
5,34004,0.405993,0.164831,0.617251
6,34004,0.40571,0.164601,0.616045
7,34004,0.408187,0.166616,0.616133
8,34004,0.395403,0.156344,0.617721
9,34004,0.403189,0.162561,0.618368
10,34004,0.408995,0.167277,0.620956
