fold,n_test,r,r2,acc
1,34005,-0.005506,3e-05,0.499603
2,34005,-0.004449,2e-05,0.501338
3,34004,-0.002603,7e-06,0.497824
4,34004,-0.008032,6.5e-05,0.500088
5,34004,0.008012,6.4e-05,0.506176
6,34004,-0.007406,5.5e-05,0.500676
7,34004,-0.000548,0.0,0.500118
8,34004,-0.004296,1.8e-05,0.498147
9,34004,-0.004416,1.9e-05,0.49903
10,34004,0.006487,4.2e-05,0.503676
