fold,n_train,n_test,r,r2,acc
1,40166,493,0.315435,0.0995,0.507099
2,40129,499,0.436583,0.190604,0.697395
3,39267,606,0.290665,0.084486,0.608911
4,39663,515,0.45622,0.208137,0.561165
5,39495,529,0.431957,0.186587,0.716446
6,39622,526,0.450428,0.202885,0.572243
7,38849,632,0.326624,0.106683,0.580696
8,39802,470,0.459305,0.210961,0.668085
9,39986,528,0.357988,0.128155,0.560606
10,39933,514,0.425696,0.181217,0.59144
