fold,n_train,n_test,train_r,train_r2,test_r,test_r2,test_rho,test_acc,stopped_epoch
0,306037,34005,0.520784,0.271216,0.425169,0.180769,0.371762,0.620497,57
1,306037,34005,0.493078,0.243126,0.423348,0.179223,0.365488,0.615557,40
2,306038,34004,0.510731,0.260846,0.434833,0.189079,0.371635,0.619751,48
3,306038,34004,0.525596,0.276251,0.431053,0.185806,0.368512,0.61778,78
4,306038,34004,0.512677,0.262838,0.426256,0.181695,0.366377,0.61578,55
5,306038,34004,0.514781,0.264999,0.431178,0.185914,0.373027,0.617986,56
6,306038,34004,0.506549,0.256591,0.430562,0.185384,0.377019,0.621486,47
7,306038,34004,0.515492,0.265732,0.41043,0.168453,0.354635,0.616075,66
8,306038,34004,0.465454,0.216648,0.416221,0.17324,0.371689,0.619104,30
9,306038,34004,0.517007,0.267296,0.433714,0.188108,0.375012,0.619251,56
