condition,layer,mode,split,k,mean_r2,sd_r2
attn_zeroed,32,words_only,pair_novel,4,0.375817,0.004392
attn_zeroed,32,words_only,pair_novel,5,0.404215,0.003983
attn_zeroed,32,words_only,pair_novel,6,0.437647,0.004463
attn_zeroed,32,words_only,pair_novel,7,0.459949,0.004419
attn_zeroed,32,words_only,pair_novel,8,0.474256,0.004275
attn_zeroed,32,words_only,pair_novel,9,0.490117,0.004645
attn_zeroed,32,words_only,pair_novel,10,0.502319,0.004286
attn_zeroed,32,words_only,pair_novel,11,0.51045,0.004384
attn_zeroed,32,words_only,pair_novel,12,0.51665,0.00408
attn_zeroed,32,words_only,pair_novel,13,0.521642,0.004216
attn_zeroed,32,words_only,pair_novel,14,0.525596,0.004339
attn_zeroed,32,words_only,pair_novel,15,0.52962,0.004419
attn_zeroed,32,words_only,word_novel,1,0.119718,0.016317
attn_zeroed,32,words_only,word_novel,2,0.255985,0.02452
attn_zeroed,32,words_only,word_novel,3,0.313442,0.023593
attn_zeroed,32,words_only,word_novel,4,0.361781,0.026784
attn_zeroed,32,words_only,word_novel,5,0.387226,0.026374
attn_zeroed,32,words_only,word_novel,6,0.419082,0.02779
attn_zeroed,32,words_only,word_novel,7,0.436731,0.030083
attn_zeroed,32,words_only,word_novel,8,0.44741,0.027987
attn_zeroed,32,words_only,word_novel,9,0.461124,0.027572
attn_zeroed,32,words_only,word_novel,10,0.472573,0.028748
attn_zeroed,32,words_only,word_novel,11,0.478031,0.028478
attn_zeroed,32,words_only,word_novel,12,0.482482,0.02946
attn_zeroed,32,words_only,word_novel,13,0.488149,0.02926
attn_zeroed,32,words_only,word_novel,14,0.491143,0.028941
attn_zeroed,32,words_only,word_novel,15,0.494108,0.029737
