condition,layer,mode,split,mean_r2,sd_r2,n_folds
default,16,mean_pooled,pair_novel,0.466072,0.005313,10
default,16,mean_pooled,word_novel,0.439466,0.024305,10
default,16,words_only,pair_novel,0.407668,0.003895,10
default,16,words_only,word_novel,0.384092,0.017006,10
attn_zeroed,16,mean_pooled,pair_novel,0.482299,0.002217,10
attn_zeroed,16,mean_pooled,word_novel,0.438345,0.024976,10
attn_zeroed,16,words_only,pair_novel,0.457116,0.003286,10
attn_zeroed,16,words_only,word_novel,0.426178,0.026352,10
