fold,n_test,r,r2,acc
1,34005,0.379422,0.143961,0.612586
2,34005,0.374245,0.140059,0.608969
3,34004,0.386109,0.14908,0.613634
4,34004,0.374408,0.140181,0.609605
5,34004,0.37671,0.14191,0.611781
6,34004,0.374801,0.140476,0.60837
7,34004,0.381551,0.145581,0.609722
8,34004,0.375605,0.141079,0.606458
9,34004,0.379734,0.144198,0.610693
10,34004,0.378344,0.143144,0.609605
