fold,n_train,n_test,r,r2,acc
1,40166,493,0.317773,0.100979,0.555781
2,40129,499,0.417597,0.174388,0.689379
3,39267,606,0.305653,0.093424,0.562706
4,39663,515,0.361502,0.130683,0.535922
5,39495,529,0.455233,0.207237,0.597354
6,39622,526,0.435871,0.189984,0.595057
7,38849,632,0.350775,0.123043,0.547468
8,39802,470,0.428445,0.183565,0.595745
9,39986,528,0.338803,0.114787,0.537879
10,39933,514,0.377528,0.142527,0.593385
