fold,n_train,n_test,train_r,train_r2,test_r,test_r2,test_rho,test_acc,stopped_epoch
0,306037,34005,0.4399,0.193512,0.382349,0.14619,0.347338,0.613763,24
1,306037,34005,0.426238,0.181679,0.37927,0.143846,0.339566,0.609087,23
2,306038,34004,0.425308,0.180887,0.386983,0.149756,0.347093,0.610546,23
3,306038,34004,0.436101,0.190184,0.379013,0.143651,0.342233,0.612722,24
4,306038,34004,0.4242,0.179946,0.378045,0.142918,0.34304,0.612604,23
5,306038,34004,0.444184,0.197299,0.378503,0.143264,0.342166,0.608105,25
6,306038,34004,0.436008,0.190103,0.385368,0.148509,0.349029,0.611016,24
7,306038,34004,0.436831,0.190821,0.378784,0.143477,0.338086,0.604135,24
8,306038,34004,0.440425,0.193974,0.386817,0.149628,0.347538,0.612193,25
9,306038,34004,0.433688,0.188085,0.383364,0.146968,0.344444,0.609311,24
