fold,n_train,n_test,train_r,train_r2,test_r,test_r2,test_rho,test_acc,stopped_epoch
0,279306,3086,0.430448,0.185286,0.318521,0.101456,0.283048,0.60337,23
1,271560,3838,0.434944,0.189176,0.338496,0.114579,0.307136,0.60865,24
2,273072,3787,0.434198,0.188528,0.317257,0.100652,0.288595,0.585952,25
3,277277,3203,0.441463,0.194889,0.281718,0.079365,0.251265,0.588199,24
4,273362,3746,0.438525,0.192304,0.320634,0.102806,0.292523,0.586492,24
5,275538,3408,0.447965,0.200673,0.273618,0.074867,0.263679,0.582747,25
6,272895,3839,0.452328,0.2046,0.292921,0.085803,0.265851,0.582704,25
7,278245,3162,0.443933,0.197077,0.292501,0.085557,0.285071,0.591714,24
8,276139,3294,0.437172,0.19112,0.291313,0.084863,0.288736,0.596843,24
9,277479,3174,0.442,0.195364,0.249612,0.062306,0.215606,0.582546,24
