fold,n_train,n_test,r,r2,acc
1,279306,3086,0.323043,0.104357,0.590408
2,271560,3838,0.352425,0.124203,0.594059
3,273072,3787,0.339409,0.115199,0.601003
4,277277,3203,0.289327,0.08371,0.571964
5,273362,3746,0.322548,0.104037,0.595836
6,275538,3408,0.282035,0.079544,0.580692
7,272895,3839,0.299788,0.089873,0.588435
8,278245,3162,0.30347,0.092094,0.594244
9,276139,3294,0.293363,0.086062,0.595628
10,277479,3174,0.258526,0.066836,0.561752
