fold,n_train,n_test,train_r,train_r2,test_r,test_r2,test_rho,test_acc,stopped_epoch
0,306037,34005,0.537741,0.289165,0.462367,0.213783,0.411705,0.633201,36
1,306037,34005,0.522213,0.272706,0.452188,0.204474,0.39773,0.624232,32
2,306038,34004,0.54022,0.291837,0.461096,0.212609,0.406556,0.628808,35
3,306038,34004,0.538772,0.290275,0.451521,0.203871,0.396043,0.626044,35
4,306038,34004,0.534207,0.285377,0.451243,0.20362,0.403164,0.628073,35
5,306038,34004,0.522098,0.272587,0.453747,0.205887,0.401837,0.627338,31
6,306038,34004,0.5158,0.266049,0.457593,0.209391,0.409008,0.63119,29
7,306038,34004,0.513709,0.263897,0.455502,0.207482,0.403585,0.629161,29
8,306038,34004,0.524211,0.274797,0.459624,0.211254,0.410214,0.630455,32
9,306038,34004,0.543683,0.295591,0.452394,0.204661,0.398946,0.624162,37
