fold,n_train,n_test,train_r,train_r2,test_r,test_r2,test_rho,test_acc,stopped_epoch
0,306037,34005,0.090379,0.008168,0.003826,1.5e-05,0.003806,0.501632,21
1,306037,34005,0.078767,0.006204,-0.000275,0.0,-0.003374,0.497339,21
2,306038,34004,0.085309,0.007278,0.008192,6.7e-05,0.00856,0.500706,21
3,306038,34004,0.083485,0.00697,0.005478,3e-05,0.003916,0.505735,21
4,306038,34004,0.084341,0.007113,-0.002039,4e-06,-0.001885,0.493589,21
5,306038,34004,0.07885,0.006217,-0.002266,5e-06,-0.005241,0.497147,21
6,306038,34004,0.081004,0.006562,0.001138,1e-06,0.001557,0.500823,21
7,306038,34004,0.077579,0.006018,-0.000983,1e-06,0.002888,0.499971,21
8,306038,34004,0.070412,0.004958,-0.002012,4e-06,-0.000413,0.502264,21
9,306038,34004,0.076068,0.005786,0.002739,8e-06,0.002501,0.501382,21
