fold,n_train,n_test,train_r,train_r2,test_r,test_r2,test_rho,test_acc,stopped_epoch
0,279306,3086,0.091299,0.008335,-0.00393,1.5e-05,0.003573,0.513286,21
1,271560,3838,0.088028,0.007749,-0.038976,0.001519,-0.02652,0.494789,21
2,273072,3787,0.088103,0.007762,-0.004096,1.7e-05,0.004337,0.495907,21
3,277277,3203,0.087488,0.007654,-0.017395,0.000303,-0.026891,0.495785,21
4,273362,3746,0.081024,0.006565,0.000876,1e-06,-0.000706,0.496797,21
5,275538,3408,0.078389,0.006145,0.015352,0.000236,0.015413,0.498533,21
6,272895,3839,0.080911,0.006547,0.016341,0.000267,0.014624,0.498307,21
7,278245,3162,0.084374,0.007119,0.000886,1e-06,0.004839,0.505693,21
8,276139,3294,0.066422,0.004412,0.017384,0.000302,0.01846,0.506072,21
9,277479,3174,0.07941,0.006306,-0.003308,1.1e-05,0.002771,0.498425,21
