fold,n_train,n_test,r,r2,acc
1,40166,493,-0.065619,0.004306,0.482759
2,40129,499,-0.007518,5.7e-05,0.53507
3,39267,606,-0.018164,0.00033,0.506601
4,39663,515,0.024006,0.000576,0.516505
5,39495,529,-0.012261,0.00015,0.47448
6,39622,526,-0.001443,2e-06,0.505703
7,38849,632,0.055584,0.00309,0.526899
8,39802,470,-0.077995,0.006083,0.485106
9,39986,528,0.027355,0.000748,0.479167
10,39933,514,0.015606,0.000244,0.505837
