fold,n_train,n_test,train_r,train_r2,test_r,test_r2,test_rho,test_acc,stopped_epoch
0,279306,3086,0.035717,0.001276,0.008158,6.7e-05,0.008036,0.505833,21
1,271560,3838,0.039208,0.001537,-0.051,0.002601,-0.043677,0.49531,21
2,273072,3787,0.051294,0.002631,0.007479,5.6e-05,0.004327,0.501452,22
3,277277,3203,0.061969,0.00384,-0.028355,0.000804,-0.027555,0.484858,22
4,273362,3746,0.039959,0.001597,0.018093,0.000327,0.018273,0.502936,21
5,275538,3408,0.057809,0.003342,0.01282,0.000164,0.003835,0.505282,22
6,272895,3839,0.063705,0.004058,0.026291,0.000691,0.028102,0.511071,22
7,278245,3162,0.061794,0.003819,-0.001977,4e-06,-0.001951,0.506325,22
8,276139,3294,0.056772,0.003223,-0.0166,0.000276,-0.024837,0.494536,22
9,277479,3174,0.059849,0.003582,-0.011095,0.000123,-0.009338,0.488343,22
