fold,n_test,r,r2,acc
1,34005,-0.004092,1.7e-05,0.502573
2,34005,0.002446,6e-06,0.502397
3,34004,0.00651,4.2e-05,0.506323
4,34004,0.004145,1.7e-05,0.501912
5,34004,0.000774,1e-06,0.49903
6,34004,-0.002692,7e-06,0.494207
7,34004,-0.006307,4e-05,0.500147
8,34004,-0.003518,1.2e-05,0.502823
9,34004,-0.002655,7e-06,0.498471
10,34004,0.005674,3.2e-05,0.503088
