stratum,label,n_corpus,novel_r,novel_r2
freq_1,freq=1,168938,0.380816,0.145021
freq_2_5,freq=2-5,36638,0.350927,0.12315
freq_6_20,freq=6-20,5954,0.262168,0.068732
freq_gt20,freq>20,1416,0.150876,0.022763
all,all,212946,0.379023,0.143659
