fold,n_train,n_test,r,r2
1,42630,691,0.402519,0.162022
2,44280,412,0.387572,0.150212
3,44201,460,0.348143,0.121203
4,44078,493,0.371905,0.138313
5,42957,617,0.368584,0.135854
6,44887,362,0.452055,0.204354
7,42158,675,0.435902,0.19001
8,42979,647,0.277381,0.07694
9,42716,590,0.286749,0.082225
10,44038,497,0.332842,0.110784
