stratum,label,n_stratum,n_sampled,mean_r2,ci_lo,ci_hi
freq_1,freq=1,168938,1416,0.057831,0.040762,0.076561
freq_2_5,freq=2-5,36638,1416,0.052859,0.035871,0.070514
freq_6_20,freq=6-20,5954,1416,0.039062,0.024574,0.052667
freq_gt20,freq>20,1416,1416,0.020482,0.011865,0.030619
