component,r_proj_score,w1_pole,w2_pole
C1,0.22908540070056915,"marginalization, militarization, dispossession, sameness, idealization, marginalisation, oppressions, demilitarization, humanitarians, merchantmen","pupil, students, pupils, teachers, teacher, math, kindergarten, graduation, photos, postings"
C2,0.3059404790401459,"members, barristers, representatives, justices, contestant, magistrates, contestants, singers, dues, employees","constraint, ductility, hindwings, coverts, upperparts, underwings, luminescence, luminance, microscopes, wavelength"
C3,0.349092572927475,"thelma, tanu, tvn, bogota, barranquilla, orations, almanacs, scholarships, amphitheatres, minsters","nature, creatures, deities, selves, energies, sentience, angels, extraterrestrials, entities, rituals"
C4,0.26970648765563965,"deaths, troopers, suicide, death, crewmen, gunshot, policemen, sons, victim, booty","educators, responsibility, ministries, initiatives, accountability, probity, ethics, stakeholder, governance, vigilance"
C5,0.2984845042228699,"chitons, oppressions, marginalisation, militarization, demilitarization, marginalization, sameness, dispossession, idealization, cesspools","supplier, quality, custom, accessories, superb, selection, manufacturer, factory, showrooms, buyers"
C6,0.3071308434009552,"advisors, asset, entity, businesses, foundations, assets, investor, investment, assistance, institutions","matins, cadillacs, klansmen, luggers, relegations, bullwinkle, madonnas, parapet, gables, mudbrick"
C7,0.27066725492477417,"teaser, commercials, idents, thrift, collectors, items, sellers, sale, collectibles, dealers","womanhood, oneness, reality, morality, consciousness, tranquility, transcendence, contemplation, ascension, humanity"
C8,0.2660732865333557,"womanhood, greatness, destiny, beginnings, ideals, testament, soul, realization, life, consciousness","application, synchronization, terminal, extraction, operator, component, execution, decryption, fabrication, module"
C9,0.261881947517395,"investigators, information, statement, findings, today, journalists, disclosure, reporter, documentation, basis","self, happiness, affirmation, elders, identities, boundaries, nations, frontiers, inhabitants, continents"
C10,0.26099637150764465,"equipments, multiple, computers, valves, software, infrastructures, infrastructure, applications, grids, installation","evasions, demagogues, populism, pragmatism, classicism, reformism, eclecticism, romanticism, conservatism, progressivism"
C11,0.27410659193992615,"preceptor, grandmaster, professorships, insubordination, punctuality, restructurings, receivership, deduction, commendation, commendations","production, scientists, chimpanzees, humans, lifespan, primates, omnivores, chassis, bearings, construction"
C12,0.348204642534256,"destitution, alleviation, prosperity, welfare, poverty, dependency, hardship, competitors, fortunes, subsidiary","detention, detainment, interrogation, locker, festivities, homecoming, matins, neologisms, symbolisms, trios"
C13,0.3020155131816864,"concepts, philosophies, frameworks, methodologies, assumptions, framework, methodology, philosophy, paradigms, implementation","planet, incarnation, greatness, ideals, psyche, testament, beginnings, realization, life, contemplation"
C14,0.2585274279117584,"ringtones, music, remixes, songs, remixer, lp, inna, deejays, episode, episodes","household, households, incomes, income, withdrawals, payments, transactions, families, villagers, gatherers"
C15,0.2542110085487366,"enclosure, equipments, hubs, appliance, communications, operators, navigation, grids, applications, configuration","debater, rebuttals, denunciation, accusation, blasphemy, scrutiny, writers, controversy, opposition, censorship"
