fold,n_test,r,r2
1,5369,0.554741,0.307738
2,5369,0.553842,0.306741
3,5369,0.549582,0.30204
4,5369,0.54413,0.296078
5,5369,0.549926,0.302419
6,5368,0.551724,0.304399
7,5368,0.545029,0.297056
8,5368,0.550858,0.303445
9,5368,0.561559,0.315349
10,5368,0.540182,0.291797
