condition,layer,mode,split,mean_r2,sd_r2,n_folds,mean_best_epoch,mean_n_epochs
default,18,words_only,pair_novel,1.7e-05,1.7e-05,10,29.2,35.2
default,18,words_only,word_novel,0.000492,0.000529,10,34.8,40.8
default,19,mean_pooled,pair_novel,1.9e-05,1.7e-05,10,32.7,38.7
default,19,mean_pooled,word_novel,0.000253,0.000269,10,49.4,55.4
default,19,words_only,pair_novel,1.5e-05,1.7e-05,10,29.6,35.6
default,19,words_only,word_novel,8.8e-05,0.000171,10,33.6,39.6
default,20,mean_pooled,pair_novel,1.1e-05,1.5e-05,10,29.5,35.5
default,20,mean_pooled,word_novel,0.00041,0.000581,10,51.0,57.0
default,20,words_only,pair_novel,3.8e-05,5.8e-05,10,34.1,40.1
default,20,words_only,word_novel,0.000421,0.001071,10,40.6,46.6
default,21,mean_pooled,pair_novel,1.8e-05,1.6e-05,10,28.5,34.5
default,21,mean_pooled,word_novel,0.000244,0.000266,10,47.3,53.3
default,21,words_only,pair_novel,1.7e-05,1.2e-05,10,28.1,34.1
default,21,words_only,word_novel,0.000148,0.000214,10,34.8,40.8
default,22,mean_pooled,pair_novel,9e-06,8e-06,10,24.3,30.3
default,22,mean_pooled,word_novel,0.000222,0.00028,10,38.1,44.1
default,22,words_only,pair_novel,1.3e-05,2e-05,10,25.4,31.4
default,22,words_only,word_novel,0.000193,0.000278,10,31.5,37.5
default,23,mean_pooled,pair_novel,4.3e-05,3.4e-05,10,25.2,31.2
default,23,mean_pooled,word_novel,0.000653,0.001095,10,44.6,50.6
default,23,words_only,pair_novel,5.9e-05,7.7e-05,10,30.4,36.4
default,23,words_only,word_novel,0.000311,0.000471,10,33.7,39.7
default,24,mean_pooled,pair_novel,1.5e-05,1.5e-05,10,28.5,34.5
default,24,mean_pooled,word_novel,0.000169,0.000151,10,34.5,40.5
default,24,words_only,pair_novel,3.8e-05,4.6e-05,10,24.8,30.8
default,24,words_only,word_novel,0.000262,0.000194,10,32.0,38.0
attn_zeroed,0,mean_pooled,pair_novel,3.3e-05,4.5e-05,10,35.6,41.6
