fold,n_train,n_test,r,r2
1,173079,2119,0.708873,0.502501
2,172985,2056,0.661595,0.437708
3,174629,1919,0.618256,0.38224
4,174752,1881,0.643507,0.414102
5,174944,1824,0.646567,0.418049
6,170398,2368,0.697397,0.486362
7,171297,2307,0.705937,0.498346
8,169751,2462,0.680539,0.463133
9,172473,2143,0.650185,0.422741
10,170689,2350,0.653888,0.427569
