condition,layer,mode,split,mean_r2,sd_r2,n_folds,mean_best_epoch,mean_n_epochs
default,18,words_only,word_novel,0.000165,0.000181,10,30.3,36.3
default,19,mean_pooled,pair_novel,3.1e-05,3.3e-05,10,27.0,33.0
default,19,mean_pooled,word_novel,0.000476,0.000497,10,34.2,40.2
default,19,words_only,pair_novel,2.9e-05,3.1e-05,10,31.3,37.3
default,19,words_only,word_novel,0.000275,0.000271,10,32.0,38.0
default,20,mean_pooled,pair_novel,3.2e-05,6.7e-05,10,26.7,32.7
default,20,mean_pooled,word_novel,0.000161,0.000257,10,33.0,39.0
default,20,words_only,pair_novel,2.4e-05,2e-05,10,22.0,28.0
default,20,words_only,word_novel,0.000342,0.000271,10,36.3,42.3
default,21,mean_pooled,pair_novel,1.4e-05,2.5e-05,10,25.6,31.6
default,21,mean_pooled,word_novel,0.000444,0.000974,10,34.1,40.1
default,21,words_only,pair_novel,2.7e-05,2.4e-05,10,28.4,34.4
default,21,words_only,word_novel,0.000247,0.000279,10,31.0,37.0
default,22,mean_pooled,pair_novel,3e-05,4.3e-05,10,24.7,30.7
default,22,mean_pooled,word_novel,0.000179,0.000224,10,39.7,45.7
default,22,words_only,pair_novel,3e-05,4.3e-05,10,25.8,31.8
default,22,words_only,word_novel,0.000414,0.000571,10,30.5,36.5
default,23,mean_pooled,pair_novel,2.2e-05,2.8e-05,10,25.3,31.3
default,23,mean_pooled,word_novel,0.000189,0.000126,10,40.4,46.4
default,23,words_only,pair_novel,1.6e-05,1.6e-05,10,29.2,35.2
default,23,words_only,word_novel,0.000477,0.000667,10,38.5,44.5
default,24,mean_pooled,pair_novel,1.2e-05,1.4e-05,10,21.9,27.9
default,24,mean_pooled,word_novel,0.000157,0.000239,10,39.5,45.5
default,24,words_only,pair_novel,2.7e-05,3.8e-05,10,27.6,33.6
default,24,words_only,word_novel,0.000277,0.000299,10,38.5,44.5
attn_zeroed,0,mean_pooled,pair_novel,2e-05,3.1e-05,10,31.1,37.1
attn_zeroed,0,mean_pooled,word_novel,0.000325,0.000396,10,50.7,56.7
attn_zeroed,0,words_only,pair_novel,3.4e-05,4.8e-05,10,32.0,38.0
attn_zeroed,0,words_only,word_novel,0.000186,0.000214,10,35.0,41.0
attn_zeroed,1,mean_pooled,pair_novel,4.3e-05,4.3e-05,10,32.9,38.9
attn_zeroed,1,mean_pooled,word_novel,0.000415,0.000368,10,45.0,51.0
attn_zeroed,1,words_only,pair_novel,4e-05,5.3e-05,10,26.6,32.6
attn_zeroed,1,words_only,word_novel,0.000431,0.000559,10,31.9,37.9
attn_zeroed,2,mean_pooled,pair_novel,1.5e-05,1.6e-05,10,29.0,35.0
attn_zeroed,2,mean_pooled,word_novel,0.000328,0.000334,10,47.2,53.2
attn_zeroed,2,words_only,pair_novel,4.5e-05,4.6e-05,10,27.6,33.6
attn_zeroed,2,words_only,word_novel,0.000156,0.000208,10,34.0,40.0
attn_zeroed,3,mean_pooled,pair_novel,1.6e-05,2e-05,10,27.7,33.7
attn_zeroed,3,mean_pooled,word_novel,0.000391,0.000624,10,42.7,48.7
attn_zeroed,3,words_only,pair_novel,3.4e-05,3.4e-05,10,34.6,40.6
attn_zeroed,3,words_only,word_novel,0.000338,0.000816,10,34.6,40.6
attn_zeroed,4,mean_pooled,pair_novel,1.6e-05,2e-05,10,30.1,36.1
attn_zeroed,4,mean_pooled,word_novel,0.000434,0.000347,10,41.7,47.7
attn_zeroed,4,words_only,pair_novel,3.1e-05,4.5e-05,10,33.3,39.3
attn_zeroed,4,words_only,word_novel,0.000167,0.000363,10,36.4,42.4
attn_zeroed,5,mean_pooled,pair_novel,1.8e-05,1.2e-05,10,36.0,42.0
attn_zeroed,5,mean_pooled,word_novel,0.000151,0.000195,10,56.2,62.2
attn_zeroed,5,words_only,pair_novel,2.5e-05,2e-05,10,31.2,37.2
attn_zeroed,5,words_only,word_novel,0.000444,0.000862,10,37.3,43.3
attn_zeroed,6,mean_pooled,pair_novel,2.9e-05,3.3e-05,10,31.2,37.2
attn_zeroed,6,mean_pooled,word_novel,0.000507,0.000474,10,56.8,62.8
attn_zeroed,6,words_only,pair_novel,3.2e-05,3.7e-05,10,29.9,35.9
attn_zeroed,6,words_only,word_novel,0.000288,0.00036,10,34.5,40.5
attn_zeroed,7,mean_pooled,pair_novel,4.6e-05,3.4e-05,10,34.5,40.5
attn_zeroed,7,mean_pooled,word_novel,9.2e-05,0.000157,10,52.1,58.1
attn_zeroed,7,words_only,pair_novel,3.5e-05,5.1e-05,10,27.9,33.9
attn_zeroed,7,words_only,word_novel,0.000135,0.000145,10,33.2,39.2
attn_zeroed,8,mean_pooled,pair_novel,2.4e-05,2e-05,10,32.9,38.9
attn_zeroed,8,mean_pooled,word_novel,0.000112,0.000173,10,48.4,54.4
attn_zeroed,8,words_only,pair_novel,8e-06,1e-05,10,29.2,35.2
attn_zeroed,8,words_only,word_novel,0.000287,0.000313,10,37.9,43.9
attn_zeroed,9,mean_pooled,pair_novel,2.6e-05,3.4e-05,10,26.1,32.1
attn_zeroed,9,mean_pooled,word_novel,0.000278,0.000503,10,53.0,59.0
attn_zeroed,9,words_only,pair_novel,1.7e-05,2.1e-05,10,28.9,34.9
attn_zeroed,9,words_only,word_novel,0.000276,0.000521,10,33.0,39.0
attn_zeroed,10,mean_pooled,pair_novel,3.2e-05,4.6e-05,10,31.1,37.1
attn_zeroed,10,mean_pooled,word_novel,0.000175,0.000144,10,36.0,42.0
attn_zeroed,10,words_only,pair_novel,2.7e-05,2.8e-05,10,28.9,34.9
attn_zeroed,10,words_only,word_novel,0.000232,0.000192,10,31.8,37.8
attn_zeroed,11,mean_pooled,pair_novel,2.9e-05,2.8e-05,10,26.4,32.4
attn_zeroed,11,mean_pooled,word_novel,0.000294,0.000339,10,49.5,55.5
