fold,n_train,n_test,train_r,train_r2,test_r,test_r2,test_rho,stopped_epoch
0,306037,34005,0.046341,0.002147,0.002584,7e-06,0.000962,21
1,306037,34005,0.041666,0.001736,0.001833,3e-06,-0.000652,21
2,306038,34004,0.051031,0.002604,-0.008479,7.2e-05,-0.007725,21
3,306038,34004,0.046008,0.002117,0.006478,4.2e-05,0.008915,21
4,306038,34004,0.045263,0.002049,0.002968,9e-06,0.001747,21
5,306038,34004,0.067475,0.004553,-0.007024,4.9e-05,-0.005853,22
6,306038,34004,0.049267,0.002427,0.002495,6e-06,0.002137,21
7,306038,34004,0.044699,0.001998,0.004101,1.7e-05,0.002735,21
8,306038,34004,0.06465,0.00418,0.003853,1.5e-05,-0.001042,22
9,306038,34004,0.045212,0.002044,0.005063,2.6e-05,0.003663,21
