fold,n_train,n_test,r,r2
1,40166,493,0.377162,0.142251
2,40129,499,0.374128,0.139971
3,39267,606,0.357796,0.128018
4,39663,515,0.502416,0.252422
5,39495,529,0.432139,0.186744
6,39622,526,0.485625,0.235831
7,38849,632,0.414885,0.172129
8,39802,470,0.437256,0.191193
9,39986,528,0.427429,0.182696
10,39933,514,0.432372,0.186946
