fold,n_train,n_test,r,r2
1,279306,3086,0.396038,0.156846
2,271560,3838,0.445151,0.19816
3,273072,3787,0.374135,0.139977
4,277277,3203,0.323428,0.104605
5,273362,3746,0.388181,0.150684
6,275538,3408,0.355548,0.126414
7,272895,3839,0.381474,0.145522
8,278245,3162,0.402607,0.162093
9,276139,3294,0.409545,0.167727
10,277479,3174,0.372689,0.138897
