feature,target,n,r,rho,p
babylm_log_freq,C1,47507,0.3697121665849966,0.35143597505152957,0
babylm_log_freq,C2,47507,0.048739355588981036,0.052749590838258996,2.177023747590836e-26
babylm_log_freq,C3,47507,-0.19718717524096424,-0.18946941781644333,0
babylm_log_freq,C4,47507,-0.19597587995036664,-0.1888665763457511,0
babylm_log_freq,C5,47507,0.1913672873489235,0.20858139155007424,0
babylm_log_freq,C6,47507,0.047960889865652105,0.034281126583191185,1.3276671501857768e-25
babylm_log_freq,C7,47507,0.017849183865361714,0.02800361755718022,9.998280453050905e-5
babylm_log_freq,C8,47507,0.022432557622897576,0.002646515721488019,1.0088238161055704e-6
babylm_log_freq,C9,47507,0.006746876189193988,0.013459876528362188,0.141417194834912
babylm_log_freq,C10,47507,0.16074700122689503,0.14887117740444833,2.0061759856781755e-272
babylm_log_freq,C11,47507,-0.0027417500208871816,-5.314691797510077e-4,0.5501202185517305
babylm_log_freq,C12,47507,-0.12089997843850173,-0.11907402350827755,3.862684040595709e-154
babylm_log_freq,C13,47507,-0.15468631374849273,-0.14422223100723247,3.4915719652709658e-252
babylm_log_freq,C14,47507,0.09512695188043749,0.08453474327103841,6.490153125855359e-96
babylm_log_freq,C15,47507,0.05648130832108258,0.05244542308096175,7.048960592647297e-35
babylm_log_freq,preference,47507,0.15831355734497532,0.1555985035397215,3.367692861600537e-264
word_length,C1,340042,-0.31869245449885314,-0.3213350465259816,0
word_length,C2,340042,-0.12944571065298724,-0.13068896704799252,0
word_length,C3,340042,0.3267736741065883,0.3264949206553964,0
word_length,C4,340042,-0.02975365069464542,-0.03416060576926111,1.8378353062331875e-67
word_length,C5,340042,0.03323014263262904,0.014418659420625004,1.0778773748745966e-83
word_length,C6,340042,-0.2059171439686783,-0.20412979466351325,0
word_length,C7,340042,0.03847606991429205,0.02939976306551147,1.4376870576897165e-111
word_length,C8,340042,0.040414747764279266,0.04036648970427672,6.692694663261227e-123
word_length,C9,340042,0.0792334785013192,0.08035024669964382,0
word_length,C10,340042,-0.20728218722658007,-0.20466966929508257,0
word_length,C11,340042,0.01892356692688908,0.023007603032476814,2.5655674279081434e-28
word_length,C12,340042,0.02200792195232425,0.023437669649257975,1.0438517553956328e-37
word_length,C13,340042,0.08394516228845944,0.07775366181820936,0
word_length,C14,340042,-0.0630642649376964,-0.0657083588513177,1.219993255383457e-296
word_length,C15,340042,0.1780668225424269,0.17287110546966075,0
word_length,preference,340042,-0.0603453074831705,-0.05744177614353032,9.472405328707783e-272
n_syllables,C1,299042,-0.3057570061675443,-0.3087190511680116,0
n_syllables,C2,299042,-0.12976549540363796,-0.12909323010282236,0
n_syllables,C3,299042,0.3361481112426576,0.3335704978258338,0
n_syllables,C4,299042,-0.08103886127606555,-0.08323298030574681,0
n_syllables,C5,299042,-0.015047578790447215,-0.02603378182488474,1.8853125978038127e-16
n_syllables,C6,299042,-0.1820604084508934,-0.1786677025348891,0
n_syllables,C7,299042,-0.018404551694876987,-0.027151715972505142,7.8654959508212e-24
n_syllables,C8,299042,0.07936611540709985,0.07743809227310212,0
n_syllables,C9,299042,0.07649640974944359,0.07850921730826821,0
n_syllables,C10,299042,-0.22062934567169426,-0.2130824400229833,0
n_syllables,C11,299042,0.0452742508735464,0.048787914532362205,1.8554082287415686e-135
n_syllables,C12,299042,0.020446299937208312,0.022233554037071234,4.9880192472352787e-29
n_syllables,C13,299042,0.029084151504063523,0.02256210688724997,5.586567010203304e-57
n_syllables,C14,299042,-0.0945223480559293,-0.09382601296788605,0
n_syllables,C15,299042,0.23055130331386664,0.22691952007564414,0
n_syllables,preference,299042,-0.0707348680013458,-0.06957794791099438,0
pair_cosine_sim,C1,336284,0.004628117415649486,0.0021334930957817104,0.0072779828873104505
pair_cosine_sim,C2,336284,0.0024804979199320306,0.0022834161049276706,0.15030993396804865
pair_cosine_sim,C3,336284,-0.010976656453762737,-0.010865346290949313,1.946151723397763e-10
pair_cosine_sim,C4,336284,1.3322369911545057e-5,0.0014452706008123719,0.9938359135988548
pair_cosine_sim,C5,336284,0.005556472227115781,0.007316644056247635,0.0012720538024434968
pair_cosine_sim,C6,336284,0.006494325815940953,0.004895147849452558,1.6582722662822732e-4
pair_cosine_sim,C7,336284,0.0033426038463228907,0.004764311245038891,0.05257759172568468
pair_cosine_sim,C8,336284,-0.005530348206838556,-0.007029051190272052,0.0013409833464672512
pair_cosine_sim,C9,336284,-0.007458924242608939,-0.007979187428484556,1.5220409038492459e-5
pair_cosine_sim,C10,336284,-0.004543535479193452,-0.0035501971516461975,0.00841868744143936
pair_cosine_sim,C11,336284,-0.0024101458679973405,-0.006048039796068807,0.1622210792828935
pair_cosine_sim,C12,336284,-0.0030519365702855253,-0.004993213233395338,0.07675787536998098
pair_cosine_sim,C13,336284,-0.010595826745933583,-0.013063087527967697,8.013019595035508e-10
pair_cosine_sim,C14,336284,0.003303110555193193,0.0013507504845341974,0.05543235103481851
pair_cosine_sim,C15,336284,-5.713032206425363e-4,3.392559631080797e-4,0.7404197581340592
pair_cosine_sim,preference,336284,-0.005013338530349913,-0.00583949626978141,0.0036463048785402713
