fold,n_test,r,r2
1,34005,0.004123,1.7e-05
2,34005,0.000881,1e-06
3,34004,-0.008977,8.1e-05
4,34004,0.000426,0.0
5,34004,0.011414,0.00013
6,34004,-0.000123,0.0
7,34004,0.014704,0.000216
8,34004,-0.003925,1.5e-05
9,34004,0.003183,1e-05
10,34004,-0.007566,5.7e-05
