stratum,label,n_stratum,n_sampled,mean_r2,ci_lo,ci_hi
freq_1,freq=1,34867,398,0.006678,0.000361,0.01654
freq_2_5,freq=2-5,12118,398,0.006904,0.000369,0.016201
freq_6_20,freq=6-20,1567,398,0.009019,0.001025,0.021879
freq_gt20,freq>20,398,398,0.006258,0.000704,0.016251
