fold,n_train,n_test,train_r,train_r2,test_r,test_r2,test_rho,stopped_epoch
0,306037,34005,0.029012,0.000842,-0.004493,2e-05,-0.005754,27
1,306037,34005,0.023322,0.000544,-0.000205,0.0,0.002038,23
2,306038,34004,0.026224,0.000688,-0.002654,7e-06,0.001803,25
3,306038,34004,0.027986,0.000783,0.001595,3e-06,-0.002137,25
4,306038,34004,0.01756,0.000308,-0.000124,0.0,-0.000421,23
5,306038,34004,0.026707,0.000713,-0.008498,7.2e-05,-0.008498,25
6,306038,34004,0.025332,0.000642,0.011002,0.000121,0.004424,25
7,306038,34004,0.035295,0.001246,-0.011897,0.000142,-0.007674,30
8,306038,34004,0.031284,0.000979,0.004132,1.7e-05,0.005197,27
9,306038,34004,0.029483,0.000869,-0.004114,1.7e-05,-0.003132,26
