fold,n_train,n_test,train_r,train_r2,test_r,test_r2,test_rho,stopped_epoch
0,276097,3346,0.623685,0.388983,0.41818,0.174875,0.372639,123
1,274736,3540,0.629763,0.396601,0.423198,0.179097,0.347461,135
2,274364,3622,0.633511,0.401336,0.390018,0.152114,0.357384,173
3,276327,3357,0.618059,0.381996,0.460847,0.21238,0.41723,127
4,270348,4056,0.616906,0.380574,0.449824,0.202341,0.390564,106
5,279295,2991,0.619317,0.383554,0.432815,0.187329,0.375584,99
6,278054,3168,0.612168,0.374749,0.475432,0.226036,0.406388,91
7,271738,3799,0.617637,0.381476,0.438529,0.192307,0.398399,99
8,276418,3335,0.618863,0.382991,0.373897,0.139799,0.332596,97
9,277417,3244,0.62371,0.389014,0.4625,0.213906,0.398797,119
