fold,n_train,n_test,r,r2
1,40166,493,0.014251,0.000203
2,40129,499,-0.08042,0.006467
3,39267,606,0.003055,9e-06
4,39663,515,0.055166,0.003043
5,39495,529,0.036361,0.001322
6,39622,526,-0.025561,0.000653
7,38849,632,0.037757,0.001426
8,39802,470,0.024155,0.000583
9,39986,528,0.028229,0.000797
10,39933,514,-0.067208,0.004517
