fold,n_train,n_test,r,r2
1,279306,3086,-0.001312,2e-06
2,271560,3838,-0.002358,6e-06
3,273072,3787,0.002224,5e-06
4,277277,3203,-0.034493,0.00119
5,273362,3746,-0.018523,0.000343
6,275538,3408,-0.002296,5e-06
7,272895,3839,-0.016559,0.000274
8,278245,3162,0.006762,4.6e-05
9,276139,3294,-0.024784,0.000614
10,277479,3174,-0.004991,2.5e-05
