fold,n_test,r,r2
1,34005,0.447375,0.200144
2,34005,0.452819,0.205045
3,34004,0.438964,0.192689
4,34004,0.443268,0.196487
5,34004,0.438832,0.192574
6,34004,0.444648,0.197712
7,34004,0.44308,0.19632
8,34004,0.447339,0.200112
9,34004,0.449006,0.201606
10,34004,0.44575,0.198693
