fold,n_train,n_test,train_r,train_r2,test_r,test_r2,test_rho,stopped_epoch
0,306037,34005,0.617801,0.381678,0.564416,0.318565,0.481343,123
1,306037,34005,0.623659,0.388951,0.568949,0.323703,0.476828,149
2,306038,34004,0.614589,0.37772,0.56466,0.31884,0.474989,111
3,306038,34004,0.625432,0.391166,0.566898,0.321374,0.480613,182
4,306038,34004,0.627665,0.393963,0.566148,0.320523,0.478351,181
5,306038,34004,0.626482,0.392479,0.566971,0.321456,0.476673,179
6,306038,34004,0.619003,0.383165,0.57097,0.326007,0.483941,128
7,306038,34004,0.621802,0.386638,0.567957,0.322575,0.476936,138
8,306038,34004,0.616288,0.37981,0.56629,0.320684,0.477647,117
9,306038,34004,0.615192,0.378461,0.565058,0.31929,0.479058,108
