contrast,mean_diff,ci_lo,ci_hi,significant
freq_1_vs_freq_2_5,-0.000226,-0.013042,0.013122,False
freq_2_5_vs_freq_6_20,-0.002115,-0.015158,0.010057,False
freq_6_20_vs_freq_gt20,0.002761,-0.008575,0.017606,False
freq_1_vs_freq_gt20,0.00042,-0.01267,0.011999,False
