stratum,label,n_corpus,novel_r,novel_r2
freq_1,freq=1,34867,0.289748,0.083954
freq_2_5,freq=2-5,12118,0.27104,0.073463
freq_6_20,freq=6-20,1567,0.135831,0.01845
freq_gt20,freq>20,398,0.049724,0.002472
all,all,48950,0.300422,0.090253
