fold,n_train,n_test,train_r,train_r2,test_r,test_r2,test_rho,stopped_epoch
0,279306,3086,0.019736,0.00039,-0.009494,9e-05,-0.001143,24
1,271560,3838,0.038719,0.001499,-0.010431,0.000109,-0.017012,27
2,273072,3787,0.026216,0.000687,-0.004257,1.8e-05,-0.001329,37
3,277277,3203,0.034582,0.001196,-0.037675,0.001419,-0.036056,26
4,273362,3746,0.033243,0.001105,-0.021089,0.000445,-0.028914,26
5,275538,3408,0.031956,0.001021,-0.00455,2.1e-05,-0.009769,27
6,272895,3839,0.022635,0.000512,-0.01353,0.000183,-0.005149,24
7,278245,3162,0.030446,0.000927,0.015529,0.000241,0.006716,26
8,276139,3294,0.027387,0.00075,-0.001543,2e-06,0.000559,25
9,277479,3174,0.025306,0.00064,-0.011917,0.000142,-0.007002,24
